structure_id,landscape_scenario_id,ead_fwoa_year00,ead_fwoa_year01,ead_fwoa_year02,ead_fwoa_year03,ead_fwoa_year04,ead_fwoa_year05,ead_fwoa_year06,ead_fwoa_year07,ead_fwoa_year08,ead_fwoa_year09,ead_fwoa_year10,ead_fwoa_year11,ead_fwoa_year12,ead_fwoa_year13,ead_fwoa_year14,ead_fwoa_year15,ead_fwoa_year16,ead_fwoa_year17,ead_fwoa_year18,ead_fwoa_year19,ead_fwoa_year20,ead_fwoa_year21,ead_fwoa_year22,ead_fwoa_year23,ead_fwoa_year24,ead_fwoa_year25,ead_fwoa_year26,ead_fwoa_year27,ead_fwoa_year28,ead_fwoa_year29,ead_fwoa_year30,ead_fwoa_year31,ead_fwoa_year32,ead_fwoa_year33,ead_fwoa_year34,ead_fwoa_year35,ead_fwoa_year36,ead_fwoa_year37,ead_fwoa_year38,ead_fwoa_year39,ead_fwoa_year40,ead_fwoa_year41,ead_fwoa_year42,ead_fwoa_year43,ead_fwoa_year44,ead_fwoa_year45,ead_fwoa_year46,ead_fwoa_year47,ead_fwoa_year48,ead_fwoa_year49,ead_fwoa_year50
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4077352591476,60.81547051829519,91.2232057774428,121.6309410365904,152.038676295738,182.4464115548856,212.8541468140332,243.2618820731808,273.6696173323284,304.077352591476
4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1977446497614,22.3954892995228,33.5932339492842,44.7909785990456,55.988723248807005,67.1864678985684,78.3842125483298,89.5819571980912,100.7797018478526,111.977446497614,155.3274807092462,198.6775149208784,242.0275491325106,285.3775833441428,328.727617555775,372.0776517674073,415.4276859790394,458.7777201906716,502.1277544023038,545.477788613936,604.8984429214383,664.3190972289408,723.7397515364432,783.1604058439456,842.5810601514479,902.0017144589503,961.4223687664528,1020.8430230739552,1080.2636773814577,1139.68433168896
7.0,7.0,326.679472107121,327.485932179365,328.292392251609,329.098852323853,329.905312396097,330.711772468341,331.518232540585,332.324692612829,333.131152685073,333.93761275731697,334.744072829561,335.3284833539238,335.9128938782866,336.4973044026494,337.0817149270122,337.666125451375,338.2505359757378,338.8349465001006,339.4193570244634,340.0037675488262,340.588178073189,339.9218798085763,339.2555815439636,338.5892832793509,337.92298501473823,337.2566867501255,336.5903884855128,335.9240902209001,335.2577919562874,334.5914936916747,333.925195427062,334.8919309659376,335.85866650481324,336.8254020436888,337.7921375825644,338.75887312144005,339.72560866031563,340.6923441991912,341.6590797380668,342.62581527694243,343.592550815818,347.31226787910634,351.0319849423946,354.7517020056829,358.4714190689712,362.19113613225954,365.9108531955478,369.6305702588361,373.3502873221244,377.0700043854128,380.789721448701
8.0,7.0,5.62832564556585,6.950142232668095,8.27195881977034,9.593775406872584,10.91559199397483,12.237408581077077,13.55922516817932,14.881041755281569,16.202858342383813,17.524674929486054,18.8464915165883,20.94911660650288,23.051741696417466,25.15436678633204,27.256991876246623,29.3596169661612,31.46224205607578,33.56486714599036,35.667492235904945,37.77011732581952,39.8727424157341,52.87515361759729,65.87756481946047,78.87997602132367,91.88238722318684,104.88479842505004,117.88720962691325,130.88962082877643,143.8920320306396,156.8944432325028,169.896854434366,217.7492993898136,265.6017443452612,313.45418930070883,361.3066342561564,409.159079211604,457.0115241670517,504.86396912249927,552.7164140779469,600.5688590333945,648.421303988842,740.8196051015789,833.2179062143157,925.6162073270524,1018.0145084397892,1110.412809552526,1202.8111106652627,1295.2094117779995,1387.6077128907364,1480.0060140034732,1572.40431511621
9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,7.0,1483.89458752728,1512.108351166122,1540.322114804964,1568.535878443806,1596.749642082648,1624.9634057214898,1653.1771693603318,1681.390932999174,1709.604696638016,1737.818460276858,1766.0322239157,1815.96569945413,1865.89917499256,1915.83265053099,1965.76612606942,2015.69960160785,2065.63307714628,2115.5665526847097,2165.50002822314,2215.43350376157,2265.3669793,2342.8191888553,2420.2713984106,2497.7236079659,2575.1758175212,2652.6280270765,2730.0802366318,2807.5324461871,2884.9846557424,2962.4368652977,3039.889074853,3184.7141471698537,3329.539219486708,3474.3642918035616,3619.189364120416,3764.01443643727,3908.839508754124,4053.664581070978,4198.489653387832,4343.314725704686,4488.13979802154,4778.178958285834,5068.218118550128,5358.257278814422,5648.2964390787165,5938.3355993430105,6228.374759607304,6518.413919871598,6808.453080135892,7098.492240400186,7388.53140066448
17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
